id,type,mode,workdir,command,raw_tok,rtk_tok,prism_tok,raw_bytes,rtk_bytes,prism_bytes,raw_lines,rtk_lines,prism_lines,raw_ms,rtk_ms,prism_ms,rtk_pct,prism_pct,rtk_exit,prism_exit
150,k8s,cmd,prism,"helm version",63,63,63,161,162,161,1,2,1,515,238,779,0.0,0.0,0,0
151,k8s,cmd,prism,"helm list -A",36,36,36,129,130,129,1,2,1,193,251,753,0.0,0.0,1,1
152,k8s,cmd,prism,"helm env",272,272,272,824,824,824,22,22,22,193,254,764,0.0,0.0,0,0
153,db,cmd,prism,"psql --version",27,27,0,51,52,0,1,2,0,84,81,654,0.0,100.0,0,0
154,db,cmd,prism,"psql -h 127.0.0.1 -p 5432 -U postgres -c \l",41,41,27,157,157,87,2,2,1,64,64,626,0.0,34.1,2,2
155,tree,cmd,prism,"tree src",260,253,197,946,921,756,43,41,42,10,19,658,2.7,24.2,0,0
156,tree,cmd,prism,"tree -L 1 .",122,110,68,404,362,241,21,18,20,9,32,832,9.8,44.3,0,0
157,tree,cmd,prism,"tree -d extensions",16,16,10,61,61,39,5,5,4,7,25,646,0.0,37.5,0,0
158,tree,cmd,anshukushwaha,"tree -L 1 .claude",174,167,102,581,556,364,27,25,26,14,22,623,4.0,41.4,0,0
159,jq,cmd,prism,"jq -r .[].benchmark benchmark_results.json",74,74,74,262,262,262,10,10,10,13,77,560,0.0,0.0,0,0
160,jq,cmd,backend,"jq .scripts package.json",157,157,115,478,478,380,15,15,13,11,72,563,0.0,26.8,0,0
161,net,cmd,prism,"curl -s http://127.0.0.1:27182/health",0,4,0,0,14,0,0,1,0,19,21,863,0.0,0.0,7,7
162,net,cmd,prism,"curl -sI https://example.com",93,95,20,246,243,69,11,10,3,394,358,1569,-2.2,78.5,0,0
163,net,cmd,prism,"curl -s https://api.github.com/repos/rtk-ai/rtk",2246,2246,1870,6768,6768,5824,150,150,142,698,211,1319,0.0,16.7,0,0
164,net,cmd,prism,"curl -sv http://127.0.0.1:27182/health",80,83,80,221,234,221,4,4,4,24,24,857,-3.8,0.0,7,7
